City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date
566,Maun,-19.9833,23.4167,69.69,66,34,5.14,scattered clouds,BW,2022-02-12 19:43:31
567,Sabzevar,36.2126,57.6819,40.12,78,6,7.83,clear sky,IR,2022-02-12 19:43:32
568,Vrede,-27.4257,29.1659,61.65,52,45,7.72,scattered clouds,ZA,2022-02-12 19:43:32
569,Cobh,51.8572,-8.2992,48.58,97,40,8.05,scattered clouds,IE,2022-02-12 19:43:33
570,Glauchau,50.8167,12.5333,36.97,88,75,4.61,broken clouds,DE,2022-02-12 19:43:33
571,Dogondoutchi,13.6393,4.0287,74.93,10,8,9.04,clear sky,NE,2022-02-12 19:43:33
572,Reconquista,-29.15,-59.65,71.65,58,100,13.94,overcast clouds,AR,2022-02-12 19:40:12
573,Conde,-7.2597,-34.9075,85.46,70,75,10.36,broken clouds,BR,2022-02-12 19:43:34
574,Muravlenko,63.7898,74.523,-9.51,96,25,12.17,scattered clouds,RU,2022-02-12 19:43:35
575,Buta,2.7858,24.73,75.92,41,100,1.79,overcast clouds,CD,2022-02-12 19:43:35
576,Toamasina,-18.1667,49.3833,75.2,94,40,4.61,scattered clouds,MG,2022-02-12 19:43:36
577,Kuusamo,65.9667,29.1833,-2.16,92,20,4.61,few clouds,FI,2022-02-12 19:43:36
578,Abalak,58.1286,68.5944,3.24,93,100,5.57,overcast clouds,RU,2022-02-12 19:43:36
579,Mao,39.8885,4.2658,48.76,81,0,4.61,clear sky,ES,2022-02-12 19:43:37
580,Iglesias,39.3114,8.535,53.02,93,38,2.21,scattered clouds,IT,2022-02-12 19:43:37
581,Cookeville,36.1628,-85.5016,48.79,71,100,8.05,overcast clouds,US,2022-02-12 19:40:53
582,Tinyahuarco,-10.75,-76.3,44.76,83,100,4.94,overcast clouds,PE,2022-02-12 19:43:38
583,Boma,7.0805,-2.1697,78.57,61,67,2.95,broken clouds,GH,2022-02-12 19:43:39
584,Le Port,-20.9373,55.2919,78.76,78,8,5.99,clear sky,RE,2022-02-12 19:43:39
585,Sur,22.5667,59.5289,69.35,63,0,10.4,clear sky,OM,2022-02-12 19:43:40
586,Pozo Colorado,-23.4923,-58.7972,92.52,34,87,8.48,overcast clouds,PY,2022-02-12 19:43:40
587,Igarka,67.4667,86.5833,-11.0,84,3,10.49,clear sky,RU,2022-02-12 19:43:41
588,Plettenberg Bay,-34.0527,23.3716,68.56,93,88,4.83,overcast clouds,ZA,2022-02-12 19:43:41
589,Pisco,-13.7,-76.2167,76.01,60,0,11.5,clear sky,PE,2022-02-12 19:43:41
590,Rosita,13.9268,-84.4032,79.83,75,83,5.44,broken clouds,NI,2022-02-12 19:43:42
591,San Andres,12.5847,-81.7006,86.02,66,20,17.27,few clouds,CO,2022-02-12 19:43:42
592,Kolga,59.4867,25.6192,36.48,97,100,16.22,overcast clouds,EE,2022-02-12 19:43:43
593,Sinop,41.7711,34.8709,33.66,82,100,5.12,overcast clouds,TR,2022-02-12 19:43:43
594,Caraballeda,10.6112,-66.8522,86.36,63,40,5.75,scattered clouds,VE,2022-02-12 19:43:44
595,Varna,43.2167,27.9167,42.94,56,0,4.61,clear sky,BG,2022-02-12 19:41:07
596,Nyrob,60.733,56.7202,12.22,97,100,3.58,light snow,RU,2022-02-12 19:43:44
597,Bani Walid,31.7566,13.9942,54.7,67,42,8.43,scattered clouds,LY,2022-02-12 19:43:45
598,Hadrut,39.52,47.0318,42.21,57,0,3.24,clear sky,AZ,2022-02-12 19:43:45
599,Shieli,44.1667,66.75,32.83,83,100,6.62,overcast clouds,KZ,2022-02-12 19:43:46
600,Kudahuvadhoo,2.6708,72.8944,81.25,69,100,6.78,overcast clouds,MV,2022-02-12 19:43:40
